item,cluster,modelo,raca
QDA@Amer-Indian-Eskimo,1,QDA,Amer-Indian-Eskimo
QDA@Other,1,QDA,Other
DecisionTree@Amer-Indian-Eskimo,2,DecisionTree,Amer-Indian-Eskimo
DecisionTree@Asian-Pac-Islander,2,DecisionTree,Asian-Pac-Islander
DecisionTree@Black,2,DecisionTree,Black
DecisionTree@Other,2,DecisionTree,Other
DecisionTree@White,2,DecisionTree,White
LogisticRegression@Amer-Indian-Eskimo,2,LogisticRegression,Amer-Indian-Eskimo
LogisticRegression@Asian-Pac-Islander,2,LogisticRegression,Asian-Pac-Islander
LogisticRegression@Black,2,LogisticRegression,Black
LogisticRegression@Other,2,LogisticRegression,Other
LogisticRegression@White,2,LogisticRegression,White
QDA@Asian-Pac-Islander,2,QDA,Asian-Pac-Islander
QDA@Black,2,QDA,Black
QDA@White,2,QDA,White
RandomForest@Amer-Indian-Eskimo,2,RandomForest,Amer-Indian-Eskimo
RandomForest@Asian-Pac-Islander,2,RandomForest,Asian-Pac-Islander
RandomForest@Black,2,RandomForest,Black
RandomForest@Other,2,RandomForest,Other
RandomForest@White,2,RandomForest,White
SGD_Logistic@Amer-Indian-Eskimo,2,SGD_Logistic,Amer-Indian-Eskimo
SGD_Logistic@Asian-Pac-Islander,2,SGD_Logistic,Asian-Pac-Islander
SGD_Logistic@Black,2,SGD_Logistic,Black
SGD_Logistic@Other,2,SGD_Logistic,Other
SGD_Logistic@White,2,SGD_Logistic,White
SVC_Linear@Amer-Indian-Eskimo,2,SVC_Linear,Amer-Indian-Eskimo
SVC_Linear@Asian-Pac-Islander,2,SVC_Linear,Asian-Pac-Islander
SVC_Linear@Black,2,SVC_Linear,Black
SVC_Linear@Other,2,SVC_Linear,Other
SVC_Linear@White,2,SVC_Linear,White
SVC_RBF@Amer-Indian-Eskimo,2,SVC_RBF,Amer-Indian-Eskimo
SVC_RBF@Asian-Pac-Islander,2,SVC_RBF,Asian-Pac-Islander
SVC_RBF@Black,2,SVC_RBF,Black
SVC_RBF@Other,2,SVC_RBF,Other
SVC_RBF@White,2,SVC_RBF,White
GaussianNB@Amer-Indian-Eskimo,3,GaussianNB,Amer-Indian-Eskimo
GaussianNB@Black,3,GaussianNB,Black
GaussianNB@White,3,GaussianNB,White
GaussianNB@Asian-Pac-Islander,4,GaussianNB,Asian-Pac-Islander
GaussianNB@Other,5,GaussianNB,Other
