,corr_media
LogisticRegression@White,0.727
LogisticRegression@Asian-Pac-Islander,0.723
SGD_Logistic@White,0.723
SVC_Linear@White,0.722
LogisticRegression@Black,0.719
SVC_Linear@Asian-Pac-Islander,0.718
SVC_Linear@Black,0.717
SGD_Logistic@Black,0.714
SVC_RBF@Black,0.697
SVC_RBF@White,0.69
RandomForest@Black,0.688
QDA@White,0.686
SVC_RBF@Asian-Pac-Islander,0.684
QDA@Black,0.681
QDA@Asian-Pac-Islander,0.679
RandomForest@White,0.677
RandomForest@Asian-Pac-Islander,0.672
LogisticRegression@Other,0.656
RandomForest@Amer-Indian-Eskimo,0.65
LogisticRegression@Amer-Indian-Eskimo,0.647
RandomForest@Other,0.642
SVC_Linear@Other,0.628
SVC_Linear@Amer-Indian-Eskimo,0.606
SVC_RBF@Other,0.58
SGD_Logistic@Asian-Pac-Islander,0.578
SVC_RBF@Amer-Indian-Eskimo,0.576
DecisionTree@Black,0.512
SGD_Logistic@Amer-Indian-Eskimo,0.5
DecisionTree@White,0.496
SGD_Logistic@Other,0.48
DecisionTree@Asian-Pac-Islander,0.461
DecisionTree@Other,0.46
DecisionTree@Amer-Indian-Eskimo,0.396
GaussianNB@White,0.371
QDA@Amer-Indian-Eskimo,0.358
GaussianNB@Amer-Indian-Eskimo,0.355
GaussianNB@Black,0.288
GaussianNB@Other,0.257
GaussianNB@Asian-Pac-Islander,0.223
QDA@Other,0.176
