,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Amer-Indian-Eskimo,1.0,0.96,0.861,0.882,0.424,0.787,0.391,0.824,0.797,0.844,0.736,0.866,0.197,0.754,0.632,0.777,0.76,0.793,0.814,0.806,0.224,0.636,0.4,0.71,0.501,0.677,0.274,0.346,0.204,0.623,0.754,,0.759,0.813,0.734,0.871,0.373,0.753,0.322,0.776
SVC_Linear@Amer-Indian-Eskimo,0.96,1.0,0.773,0.946,0.385,0.738,0.454,0.932,0.735,0.785,0.744,0.798,0.158,0.728,0.569,0.765,0.708,0.742,0.759,0.755,0.207,0.655,0.443,0.664,0.475,0.707,0.137,0.272,0.163,0.583,0.688,,0.688,0.737,0.651,0.825,0.324,0.748,0.386,0.721
SGD_Logistic@Amer-Indian-Eskimo,0.861,0.773,1.0,0.724,0.349,0.676,0.182,0.598,0.808,0.831,0.701,0.908,0.144,0.744,0.492,0.859,0.817,0.814,0.885,0.895,0.196,0.666,0.448,0.788,0.569,0.589,0.448,0.581,0.131,0.655,0.895,,0.853,0.886,0.839,0.934,0.303,0.697,0.182,0.853
SVC_RBF@Amer-Indian-Eskimo,0.882,0.946,0.724,1.0,0.254,0.657,0.492,0.961,0.601,0.674,0.705,0.676,0.085,0.628,0.441,0.713,0.619,0.665,0.665,0.689,0.122,0.562,0.432,0.574,0.307,0.566,0.093,0.191,-0.012,0.441,0.648,,0.563,0.633,0.513,0.77,0.221,0.636,0.464,0.635
GaussianNB@Amer-Indian-Eskimo,0.424,0.385,0.349,0.254,1.0,0.419,-0.046,0.209,0.636,0.576,0.516,0.429,0.412,0.517,0.508,0.501,0.572,0.583,0.515,0.509,0.376,0.551,0.265,0.566,0.479,0.439,0.36,0.341,0.189,0.455,0.222,,0.583,0.562,0.579,0.487,0.722,0.534,0.112,0.562
RandomForest@Amer-Indian-Eskimo,0.787,0.738,0.676,0.657,0.419,1.0,0.685,0.572,0.731,0.716,0.587,0.723,0.181,0.82,0.684,0.655,0.647,0.677,0.674,0.673,0.169,0.549,0.427,0.608,0.44,0.526,0.128,0.287,0.248,0.549,0.562,,0.71,0.757,0.695,0.77,0.389,0.676,0.196,0.733
DecisionTree@Amer-Indian-Eskimo,0.391,0.454,0.182,0.492,-0.046,0.685,1.0,0.486,0.237,0.269,0.292,0.267,0.177,0.415,0.334,0.247,0.17,0.215,0.18,0.211,0.003,0.176,0.287,0.147,0.032,0.211,-0.257,-0.138,0.13,0.119,0.126,,0.186,0.237,0.16,0.291,0.158,0.294,0.262,0.255
QDA@Amer-Indian-Eskimo,0.824,0.932,0.598,0.961,0.209,0.572,0.486,1.0,0.526,0.589,0.675,0.595,0.086,0.558,0.411,0.628,0.536,0.584,0.584,0.585,0.117,0.528,0.381,0.485,0.303,0.592,-0.042,0.081,0.025,0.423,0.536,,0.479,0.537,0.431,0.678,0.182,0.616,0.486,0.537
LogisticRegression@Asian-Pac-Islander,0.797,0.735,0.808,0.601,0.636,0.731,0.237,0.526,1.0,0.963,0.783,0.878,0.244,0.871,0.668,0.897,0.962,0.961,0.95,0.944,0.322,0.89,0.589,0.936,0.832,0.832,0.574,0.664,0.42,0.862,0.696,,0.976,0.972,0.969,0.901,0.55,0.872,0.313,0.954
SVC_Linear@Asian-Pac-Islander,0.844,0.785,0.831,0.674,0.576,0.716,0.269,0.589,0.963,1.0,0.79,0.885,0.192,0.805,0.639,0.881,0.917,0.93,0.91,0.919,0.38,0.831,0.552,0.878,0.729,0.791,0.577,0.621,0.396,0.78,0.734,,0.916,0.935,0.897,0.897,0.522,0.826,0.3,0.908
SGD_Logistic@Asian-Pac-Islander,0.736,0.744,0.701,0.705,0.516,0.587,0.292,0.675,0.783,0.79,1.0,0.785,0.288,0.69,0.515,0.831,0.721,0.755,0.737,0.782,0.287,0.679,0.478,0.682,0.571,0.628,0.285,0.484,0.068,0.564,0.59,,0.751,0.772,0.727,0.804,0.546,0.745,0.437,0.744
SVC_RBF@Asian-Pac-Islander,0.866,0.798,0.908,0.676,0.429,0.723,0.267,0.595,0.878,0.885,0.785,1.0,0.194,0.851,0.615,0.88,0.824,0.806,0.872,0.882,0.227,0.737,0.48,0.795,0.71,0.747,0.422,0.634,0.268,0.748,0.795,,0.88,0.881,0.875,0.883,0.396,0.782,0.272,0.85
GaussianNB@Asian-Pac-Islander,0.197,0.158,0.144,0.085,0.412,0.181,0.177,0.086,0.244,0.192,0.288,0.194,1.0,0.145,0.209,0.207,0.194,0.189,0.193,0.179,0.161,0.1,-0.008,0.227,0.138,0.101,0.217,-0.009,0.297,0.037,-0.116,,0.224,0.197,0.234,0.16,0.505,0.17,-0.084,0.233
RandomForest@Asian-Pac-Islander,0.754,0.728,0.744,0.628,0.517,0.82,0.415,0.558,0.871,0.805,0.69,0.851,0.145,1.0,0.747,0.847,0.827,0.803,0.82,0.823,0.198,0.806,0.571,0.811,0.72,0.755,0.334,0.561,0.286,0.788,0.658,,0.864,0.855,0.852,0.834,0.399,0.768,0.255,0.862
DecisionTree@Asian-Pac-Islander,0.632,0.569,0.492,0.441,0.508,0.684,0.334,0.411,0.668,0.639,0.515,0.615,0.209,0.747,1.0,0.628,0.602,0.601,0.551,0.57,0.286,0.567,0.319,0.605,0.483,0.549,0.294,0.323,0.419,0.624,0.406,,0.616,0.612,0.615,0.566,0.442,0.697,0.164,0.679
QDA@Asian-Pac-Islander,0.777,0.765,0.859,0.713,0.501,0.655,0.247,0.628,0.897,0.881,0.831,0.88,0.207,0.847,0.628,1.0,0.905,0.889,0.912,0.95,0.268,0.878,0.639,0.902,0.768,0.793,0.525,0.709,0.271,0.761,0.749,,0.913,0.908,0.897,0.912,0.429,0.828,0.305,0.937
LogisticRegression@Black,0.76,0.708,0.817,0.619,0.572,0.647,0.17,0.536,0.962,0.917,0.721,0.824,0.194,0.827,0.602,0.905,1.0,0.988,0.981,0.969,0.324,0.927,0.665,0.986,0.846,0.836,0.606,0.701,0.386,0.89,0.71,,0.966,0.958,0.955,0.898,0.484,0.852,0.366,0.972
SVC_Linear@Black,0.793,0.742,0.814,0.665,0.583,0.677,0.215,0.584,0.961,0.93,0.755,0.806,0.189,0.803,0.601,0.889,0.988,1.0,0.97,0.966,0.325,0.903,0.658,0.961,0.791,0.806,0.572,0.634,0.355,0.855,0.708,,0.954,0.963,0.937,0.915,0.486,0.87,0.396,0.963
