,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Amer-Indian-Eskimo,1.0,0.964,0.537,0.887,0.422,0.875,0.566,0.539,0.794,0.801,0.682,0.781,0.225,0.681,0.408,0.814,0.811,0.85,0.876,0.783,0.27,0.786,0.432,0.817,0.67,0.6,0.078,0.689,0.157,0.772,0.39,0.245,0.832,0.789,0.85,0.782,0.312,0.758,0.559,0.831
SVC_Linear@Amer-Indian-Eskimo,0.964,1.0,0.475,0.858,0.381,0.818,0.529,0.583,0.757,0.775,0.682,0.721,0.222,0.634,0.383,0.757,0.762,0.799,0.841,0.723,0.241,0.732,0.432,0.743,0.669,0.642,0.099,0.68,0.105,0.751,0.409,0.319,0.776,0.733,0.787,0.721,0.276,0.697,0.513,0.757
SGD_Logistic@Amer-Indian-Eskimo,0.537,0.475,1.0,0.444,0.353,0.706,0.394,0.163,0.544,0.538,0.182,0.595,0.194,0.547,0.432,0.56,0.65,0.64,0.611,0.692,0.168,0.677,0.09,0.677,0.526,0.465,0.27,0.598,0.182,0.541,0.384,0.161,0.598,0.601,0.588,0.633,0.195,0.564,0.357,0.646
SVC_RBF@Amer-Indian-Eskimo,0.887,0.858,0.444,1.0,0.358,0.826,0.597,0.593,0.71,0.736,0.647,0.707,0.181,0.641,0.363,0.742,0.73,0.777,0.799,0.706,0.199,0.706,0.423,0.71,0.628,0.599,0.102,0.648,0.153,0.741,0.489,0.131,0.747,0.711,0.761,0.713,0.283,0.702,0.512,0.718
GaussianNB@Amer-Indian-Eskimo,0.422,0.381,0.353,0.358,1.0,0.426,0.328,0.228,0.424,0.4,0.271,0.379,0.302,0.353,0.115,0.392,0.498,0.501,0.474,0.488,0.228,0.47,0.189,0.504,0.43,0.329,0.253,0.322,0.217,0.388,0.137,0.1,0.431,0.314,0.464,0.418,0.219,0.478,0.396,0.476
RandomForest@Amer-Indian-Eskimo,0.875,0.818,0.706,0.826,0.426,1.0,0.624,0.429,0.778,0.785,0.545,0.801,0.267,0.744,0.476,0.772,0.833,0.857,0.836,0.842,0.315,0.864,0.358,0.835,0.699,0.61,0.208,0.684,0.245,0.742,0.411,0.159,0.849,0.842,0.849,0.83,0.305,0.807,0.56,0.843
DecisionTree@Amer-Indian-Eskimo,0.566,0.529,0.394,0.597,0.328,0.624,1.0,0.527,0.474,0.493,0.356,0.476,0.131,0.464,0.295,0.44,0.488,0.539,0.517,0.472,0.158,0.454,0.246,0.446,0.437,0.449,0.058,0.467,0.095,0.451,0.223,0.231,0.462,0.427,0.463,0.463,0.309,0.41,0.24,0.452
QDA@Amer-Indian-Eskimo,0.539,0.583,0.163,0.593,0.228,0.429,0.527,1.0,0.521,0.557,0.552,0.444,0.07,0.412,0.304,0.396,0.444,0.478,0.489,0.421,0.007,0.43,0.389,0.327,0.592,0.697,0.184,0.577,0.1,0.538,0.384,0.438,0.47,0.426,0.452,0.431,0.164,0.407,0.302,0.343
LogisticRegression@Asian-Pac-Islander,0.794,0.757,0.544,0.71,0.424,0.778,0.474,0.521,1.0,0.984,0.823,0.903,0.284,0.889,0.605,0.899,0.896,0.885,0.874,0.829,0.31,0.879,0.535,0.811,0.857,0.756,0.338,0.69,0.324,0.788,0.384,0.24,0.932,0.883,0.924,0.843,0.411,0.847,0.629,0.821
SVC_Linear@Asian-Pac-Islander,0.801,0.775,0.538,0.736,0.4,0.785,0.493,0.557,0.984,1.0,0.81,0.891,0.289,0.859,0.613,0.876,0.865,0.863,0.853,0.806,0.303,0.851,0.519,0.779,0.836,0.766,0.335,0.685,0.319,0.79,0.414,0.263,0.906,0.871,0.89,0.829,0.423,0.813,0.607,0.783
