,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Amer-Indian-Eskimo,1.0,0.95,0.798,0.828,0.331,0.814,0.364,0.442,0.684,0.688,0.553,0.65,0.186,0.578,0.37,0.607,0.732,0.747,0.772,0.735,0.203,0.65,0.461,0.721,0.642,0.636,0.394,0.523,0.151,0.662,0.536,,0.748,0.767,0.765,0.686,0.327,0.662,0.535,0.695
SVC_Linear@Amer-Indian-Eskimo,0.95,1.0,0.728,0.811,0.377,0.806,0.368,0.525,0.662,0.667,0.499,0.652,0.186,0.577,0.356,0.631,0.712,0.72,0.755,0.701,0.219,0.64,0.471,0.695,0.639,0.65,0.378,0.55,0.194,0.664,0.519,,0.736,0.745,0.739,0.687,0.349,0.655,0.521,0.695
SGD_Logistic@Amer-Indian-Eskimo,0.798,0.728,1.0,0.56,0.244,0.65,0.198,0.306,0.467,0.49,0.312,0.46,0.126,0.371,0.323,0.43,0.509,0.501,0.552,0.478,0.108,0.426,0.298,0.54,0.443,0.404,0.225,0.361,0.017,0.436,0.273,,0.538,0.562,0.546,0.477,0.208,0.463,0.396,0.513
SVC_RBF@Amer-Indian-Eskimo,0.828,0.811,0.56,1.0,0.17,0.732,0.411,0.519,0.592,0.62,0.541,0.615,0.086,0.523,0.321,0.522,0.633,0.669,0.684,0.692,0.11,0.553,0.402,0.608,0.572,0.659,0.464,0.578,0.182,0.626,0.537,,0.637,0.674,0.638,0.655,0.194,0.606,0.476,0.589
GaussianNB@Amer-Indian-Eskimo,0.331,0.377,0.244,0.17,1.0,0.369,0.142,0.091,0.325,0.324,0.21,0.269,0.31,0.252,0.191,0.341,0.321,0.304,0.31,0.304,0.345,0.345,0.17,0.327,0.321,0.27,0.316,0.203,0.193,0.31,0.246,,0.346,0.315,0.346,0.338,0.522,0.384,0.27,0.361
RandomForest@Amer-Indian-Eskimo,0.814,0.806,0.65,0.732,0.369,1.0,0.504,0.359,0.697,0.713,0.508,0.67,0.185,0.631,0.377,0.657,0.706,0.707,0.728,0.694,0.225,0.668,0.476,0.698,0.681,0.655,0.5,0.577,0.253,0.69,0.521,,0.738,0.757,0.727,0.69,0.346,0.702,0.577,0.71
DecisionTree@Amer-Indian-Eskimo,0.364,0.368,0.198,0.411,0.142,0.504,1.0,0.273,0.244,0.248,0.21,0.211,0.11,0.232,0.146,0.177,0.194,0.214,0.208,0.237,0.048,0.189,0.095,0.171,0.175,0.237,0.174,0.212,0.167,0.228,0.168,,0.227,0.241,0.211,0.232,0.117,0.249,0.186,0.214
QDA@Amer-Indian-Eskimo,0.442,0.525,0.306,0.519,0.091,0.359,0.273,1.0,0.342,0.37,0.355,0.36,0.038,0.278,0.176,0.287,0.328,0.342,0.377,0.34,0.05,0.286,0.207,0.264,0.419,0.565,0.227,0.5,0.114,0.382,0.267,,0.341,0.346,0.346,0.343,0.078,0.289,0.199,0.275
LogisticRegression@Asian-Pac-Islander,0.684,0.662,0.467,0.592,0.325,0.697,0.244,0.342,1.0,0.974,0.807,0.9,0.244,0.877,0.537,0.877,0.942,0.929,0.905,0.871,0.268,0.882,0.668,0.874,0.849,0.798,0.594,0.647,0.286,0.812,0.651,,0.953,0.936,0.951,0.877,0.394,0.865,0.645,0.88
SVC_Linear@Asian-Pac-Islander,0.688,0.667,0.49,0.62,0.324,0.713,0.248,0.37,0.974,1.0,0.787,0.888,0.211,0.822,0.52,0.831,0.926,0.919,0.895,0.865,0.242,0.849,0.644,0.86,0.85,0.812,0.632,0.67,0.28,0.821,0.642,,0.929,0.929,0.921,0.862,0.356,0.835,0.615,0.844
SGD_Logistic@Asian-Pac-Islander,0.553,0.499,0.312,0.541,0.21,0.508,0.21,0.355,0.807,0.787,1.0,0.666,0.193,0.695,0.473,0.675,0.689,0.685,0.672,0.661,0.18,0.633,0.516,0.656,0.637,0.623,0.493,0.507,0.151,0.659,0.564,,0.725,0.709,0.742,0.684,0.293,0.646,0.449,0.671
SVC_RBF@Asian-Pac-Islander,0.65,0.652,0.46,0.615,0.269,0.67,0.211,0.36,0.9,0.888,0.666,1.0,0.148,0.834,0.461,0.913,0.904,0.891,0.906,0.918,0.184,0.862,0.7,0.879,0.874,0.804,0.618,0.724,0.302,0.8,0.649,,0.896,0.891,0.894,0.907,0.31,0.851,0.627,0.887
GaussianNB@Asian-Pac-Islander,0.186,0.186,0.126,0.086,0.31,0.185,0.11,0.038,0.244,0.211,0.193,0.148,1.0,0.126,0.06,0.185,0.193,0.181,0.181,0.137,0.252,0.191,0.112,0.167,0.178,0.162,0.165,0.095,0.274,0.142,0.14,,0.213,0.204,0.208,0.154,0.398,0.195,0.139,0.168
RandomForest@Asian-Pac-Islander,0.578,0.577,0.371,0.523,0.252,0.631,0.232,0.278,0.877,0.822,0.695,0.834,0.126,1.0,0.62,0.812,0.821,0.798,0.773,0.757,0.224,0.831,0.62,0.751,0.76,0.723,0.496,0.619,0.235,0.769,0.595,,0.831,0.803,0.824,0.762,0.332,0.808,0.579,0.781
DecisionTree@Asian-Pac-Islander,0.37,0.356,0.323,0.321,0.191,0.377,0.146,0.176,0.537,0.52,0.473,0.461,0.06,0.62,1.0,0.495,0.479,0.478,0.429,0.424,0.121,0.479,0.299,0.429,0.431,0.414,0.307,0.333,0.073,0.433,0.353,,0.505,0.501,0.497,0.443,0.148,0.447,0.326,0.472
QDA@Asian-Pac-Islander,0.607,0.631,0.43,0.522,0.341,0.657,0.177,0.287,0.877,0.831,0.675,0.913,0.185,0.812,0.495,1.0,0.88,0.853,0.885,0.848,0.193,0.847,0.685,0.896,0.853,0.741,0.576,0.668,0.287,0.796,0.688,,0.896,0.876,0.891,0.908,0.354,0.847,0.64,0.945
LogisticRegression@Black,0.732,0.712,0.509,0.633,0.321,0.706,0.194,0.328,0.942,0.926,0.689,0.904,0.193,0.821,0.479,0.88,1.0,0.982,0.972,0.926,0.269,0.9,0.692,0.921,0.868,0.801,0.576,0.662,0.245,0.828,0.696,,0.976,0.962,0.972,0.916,0.369,0.876,0.655,0.902
SVC_Linear@Black,0.747,0.72,0.501,0.669,0.304,0.707,0.214,0.342,0.929,0.919,0.685,0.891,0.181,0.798,0.478,0.853,0.982,1.0,0.957,0.935,0.268,0.879,0.683,0.906,0.846,0.795,0.589,0.659,0.246,0.824,0.696,,0.959,0.963,0.953,0.914,0.354,0.853,0.634,0.882
SGD_Logistic@Black,0.772,0.755,0.552,0.684,0.31,0.728,0.208,0.377,0.905,0.895,0.672,0.906,0.181,0.773,0.429,0.885,0.972,0.957,1.0,0.929,0.241,0.858,0.671,0.916,0.868,0.8,0.583,0.669,0.244,0.831,0.707,,0.949,0.949,0.951,0.927,0.34,0.842,0.637,0.905
SVC_RBF@Black,0.735,0.701,0.478,0.692,0.304,0.694,0.237,0.34,0.871,0.865,0.661,0.918,0.137,0.757,0.424,0.848,0.926,0.935,0.929,1.0,0.192,0.885,0.67,0.925,0.819,0.756,0.609,0.632,0.262,0.779,0.674,,0.898,0.908,0.911,0.931,0.312,0.846,0.631,0.889
GaussianNB@Black,0.203,0.219,0.108,0.11,0.345,0.225,0.048,0.05,0.268,0.242,0.18,0.184,0.252,0.224,0.121,0.193,0.269,0.268,0.241,0.192,1.0,0.259,0.197,0.207,0.202,0.187,0.184,0.084,0.064,0.227,0.186,,0.28,0.265,0.265,0.207,0.575,0.251,0.208,0.197
RandomForest@Black,0.65,0.64,0.426,0.553,0.345,0.668,0.189,0.286,0.882,0.849,0.633,0.862,0.191,0.831,0.479,0.847,0.9,0.879,0.858,0.885,0.259,1.0,0.706,0.859,0.79,0.734,0.567,0.604,0.298,0.758,0.627,,0.892,0.878,0.892,0.853,0.4,0.866,0.678,0.855
