,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Amer-Indian-Eskimo,1.0,0.969,0.666,0.884,0.478,0.775,0.571,0.773,0.936,0.897,0.935,0.893,0.347,0.841,0.422,0.911,0.984,0.964,0.96,0.974,0.003,0.871,0.773,0.975,0.968,0.936,0.758,0.836,0.183,0.838,0.773,,0.983,0.975,0.976,0.934,0.252,0.862,0.497,0.965
SVC_Linear@Amer-Indian-Eskimo,0.969,1.0,0.722,0.919,0.534,0.839,0.668,0.849,0.912,0.906,0.852,0.831,0.392,0.811,0.456,0.805,0.946,0.961,0.879,0.936,-0.016,0.9,0.849,0.899,0.926,0.923,0.831,0.864,0.171,0.838,0.849,,0.935,0.959,0.91,0.937,0.262,0.838,0.54,0.893
SGD_Logistic@Amer-Indian-Eskimo,0.666,0.722,1.0,0.686,0.347,0.799,0.46,0.695,0.576,0.602,0.43,0.481,0.258,0.756,0.677,0.559,0.63,0.722,0.48,0.625,-0.028,0.721,0.695,0.613,0.574,0.67,0.68,0.741,0.123,0.808,0.695,,0.606,0.631,0.548,0.715,0.163,0.828,0.46,0.687
SVC_RBF@Amer-Indian-Eskimo,0.884,0.919,0.686,1.0,0.334,0.9,0.632,0.918,0.853,0.88,0.775,0.838,0.204,0.822,0.556,0.66,0.894,0.945,0.787,0.917,-0.217,0.974,0.918,0.805,0.904,0.946,0.897,0.97,0.024,0.902,0.918,,0.839,0.887,0.809,0.95,-0.001,0.823,0.795,0.78
GaussianNB@Amer-Indian-Eskimo,0.478,0.534,0.347,0.334,1.0,0.392,0.341,0.237,0.456,0.51,0.38,0.452,0.59,0.372,0.291,0.46,0.413,0.399,0.4,0.358,0.287,0.318,0.237,0.403,0.351,0.372,0.276,0.332,0.452,0.337,0.237,,0.448,0.425,0.429,0.344,0.713,0.431,0.053,0.439
RandomForest@Amer-Indian-Eskimo,0.775,0.839,0.799,0.9,0.392,1.0,0.605,0.785,0.745,0.815,0.574,0.74,0.215,0.864,0.678,0.59,0.746,0.83,0.608,0.749,-0.15,0.88,0.785,0.669,0.722,0.823,0.764,0.926,0.052,0.908,0.785,,0.713,0.76,0.663,0.808,0.12,0.823,0.738,0.694
DecisionTree@Amer-Indian-Eskimo,0.571,0.668,0.46,0.632,0.341,0.605,1.0,0.693,0.64,0.589,0.464,0.445,0.253,0.536,0.28,0.357,0.577,0.623,0.459,0.55,-0.031,0.641,0.693,0.457,0.563,0.603,0.679,0.558,0.126,0.491,0.693,,0.602,0.642,0.541,0.636,0.155,0.491,0.46,0.467
QDA@Amer-Indian-Eskimo,0.773,0.849,0.695,0.918,0.237,0.785,0.693,1.0,0.774,0.778,0.661,0.62,0.175,0.672,0.47,0.465,0.805,0.879,0.655,0.827,-0.219,0.929,1.0,0.674,0.822,0.862,0.986,0.87,-0.127,0.76,1.0,,0.731,0.813,0.687,0.923,-0.116,0.72,0.693,0.643
LogisticRegression@Asian-Pac-Islander,0.936,0.912,0.576,0.853,0.456,0.745,0.64,0.774,1.0,0.956,0.922,0.89,0.352,0.853,0.397,0.812,0.943,0.93,0.897,0.919,0.041,0.867,0.774,0.889,0.938,0.941,0.779,0.817,0.113,0.787,0.774,,0.949,0.954,0.932,0.899,0.259,0.835,0.493,0.869
SVC_Linear@Asian-Pac-Islander,0.897,0.906,0.602,0.88,0.51,0.815,0.589,0.778,0.956,1.0,0.849,0.891,0.352,0.846,0.428,0.737,0.887,0.897,0.816,0.871,-0.065,0.872,0.778,0.815,0.886,0.941,0.791,0.872,0.158,0.808,0.778,,0.873,0.901,0.85,0.872,0.244,0.828,0.536,0.798
SGD_Logistic@Asian-Pac-Islander,0.935,0.852,0.43,0.775,0.38,0.574,0.464,0.661,0.922,0.849,1.0,0.893,0.291,0.737,0.252,0.887,0.947,0.883,0.979,0.937,-0.023,0.762,0.661,0.951,0.956,0.883,0.659,0.717,0.138,0.701,0.661,,0.952,0.922,0.968,0.861,0.198,0.752,0.411,0.91
SVC_RBF@Asian-Pac-Islander,0.893,0.831,0.481,0.838,0.452,0.74,0.445,0.62,0.89,0.891,0.893,1.0,0.325,0.847,0.39,0.849,0.885,0.853,0.887,0.88,-0.075,0.791,0.62,0.878,0.892,0.901,0.627,0.841,0.244,0.826,0.62,,0.883,0.852,0.885,0.819,0.234,0.816,0.583,0.857
GaussianNB@Asian-Pac-Islander,0.347,0.392,0.258,0.204,0.59,0.215,0.253,0.175,0.352,0.352,0.291,0.325,1.0,0.226,0.163,0.342,0.297,0.285,0.297,0.232,0.25,0.189,0.175,0.296,0.251,0.274,0.205,0.19,0.417,0.201,0.175,,0.327,0.294,0.312,0.223,0.53,0.29,-0.032,0.325
RandomForest@Asian-Pac-Islander,0.841,0.811,0.756,0.822,0.372,0.864,0.536,0.672,0.853,0.846,0.737,0.847,0.226,1.0,0.653,0.788,0.833,0.862,0.753,0.818,-0.05,0.843,0.672,0.811,0.804,0.872,0.666,0.861,0.16,0.916,0.672,,0.838,0.834,0.806,0.83,0.236,0.907,0.603,0.841
DecisionTree@Asian-Pac-Islander,0.422,0.456,0.677,0.556,0.291,0.678,0.28,0.47,0.397,0.428,0.252,0.39,0.163,0.653,1.0,0.343,0.441,0.549,0.306,0.434,-0.046,0.632,0.47,0.384,0.382,0.476,0.453,0.613,-0.042,0.699,0.47,,0.407,0.436,0.363,0.523,0.229,0.62,0.678,0.436
QDA@Asian-Pac-Islander,0.911,0.805,0.559,0.66,0.46,0.59,0.357,0.465,0.812,0.737,0.887,0.849,0.342,0.788,0.343,1.0,0.874,0.805,0.928,0.852,0.108,0.649,0.465,0.957,0.842,0.78,0.45,0.636,0.348,0.731,0.465,,0.917,0.845,0.933,0.744,0.37,0.795,0.279,0.972
LogisticRegression@Black,0.984,0.946,0.63,0.894,0.413,0.746,0.577,0.805,0.943,0.887,0.947,0.885,0.297,0.833,0.441,0.874,1.0,0.981,0.967,0.991,-0.006,0.901,0.805,0.97,0.991,0.951,0.8,0.844,0.092,0.843,0.805,,0.986,0.985,0.979,0.959,0.212,0.872,0.561,0.945
SVC_Linear@Black,0.964,0.961,0.722,0.945,0.399,0.83,0.623,0.879,0.93,0.897,0.883,0.853,0.285,0.862,0.549,0.805,0.981,1.0,0.905,0.979,-0.048,0.956,0.879,0.924,0.968,0.964,0.868,0.904,0.055,0.894,0.879,,0.953,0.976,0.931,0.985,0.17,0.894,0.653,0.909
SGD_Logistic@Black,0.96,0.879,0.48,0.787,0.4,0.608,0.459,0.655,0.897,0.816,0.979,0.887,0.297,0.753,0.306,0.928,0.967,0.905,1.0,0.956,0.029,0.775,0.655,0.983,0.962,0.875,0.646,0.723,0.159,0.736,0.655,,0.973,0.94,0.989,0.872,0.251,0.78,0.427,0.951
SVC_RBF@Black,0.974,0.936,0.625,0.917,0.358,0.749,0.55,0.827,0.919,0.871,0.937,0.88,0.232,0.818,0.434,0.852,0.991,0.979,0.956,1.0,-0.089,0.913,0.827,0.961,0.992,0.954,0.812,0.862,0.093,0.846,0.827,,0.965,0.972,0.961,0.968,0.111,0.85,0.598,0.93
GaussianNB@Black,0.003,-0.016,-0.028,-0.217,0.287,-0.15,-0.031,-0.219,0.041,-0.065,-0.023,-0.075,0.25,-0.05,-0.046,0.108,-0.006,-0.048,0.029,-0.089,1.0,-0.158,-0.219,0.023,-0.073,-0.157,-0.19,-0.246,-0.073,-0.118,-0.219,,0.062,0.017,0.061,-0.135,0.53,0.034,-0.316,0.054
RandomForest@Black,0.871,0.9,0.721,0.974,0.318,0.88,0.641,0.929,0.867,0.872,0.762,0.791,0.189,0.843,0.632,0.649,0.901,0.956,0.775,0.913,-0.158,1.0,0.929,0.8,0.903,0.944,0.913,0.95,-0.033,0.911,0.929,,0.846,0.899,0.812,0.959,0.012,0.853,0.783,0.779
DecisionTree@Black,0.773,0.849,0.695,0.918,0.237,0.785,0.693,1.0,0.774,0.778,0.661,0.62,0.175,0.672,0.47,0.465,0.805,0.879,0.655,0.827,-0.219,0.929,1.0,0.674,0.822,0.862,0.986,0.87,-0.127,0.76,1.0,,0.731,0.813,0.687,0.923,-0.116,0.72,0.693,0.643
QDA@Black,0.975,0.899,0.613,0.805,0.403,0.669,0.457,0.674,0.889,0.815,0.951,0.878,0.296,0.811,0.384,0.957,0.97,0.924,0.983,0.961,0.023,0.8,0.674,1.0,0.954,0.889,0.66,0.761,0.197,0.803,0.674,,0.977,0.942,0.984,0.891,0.247,0.847,0.438,0.989
LogisticRegression@Other,0.968,0.926,0.574,0.904,0.351,0.722,0.563,0.822,0.938,0.886,0.956,0.892,0.251,0.804,0.382,0.842,0.991,0.968,0.962,0.992,-0.073,0.903,0.822,0.954,1.0,0.96,0.815,0.852,0.066,0.825,0.822,,0.967,0.97,0.965,0.959,0.114,0.837,0.581,0.915
SVC_Linear@Other,0.936,0.923,0.67,0.946,0.372,0.823,0.603,0.862,0.941,0.941,0.883,0.901,0.274,0.872,0.476,0.78,0.951,0.964,0.875,0.954,-0.157,0.944,0.862,0.889,0.96,1.0,0.868,0.936,0.114,0.897,0.862,,0.916,0.934,0.895,0.959,0.096,0.893,0.658,0.867
SGD_Logistic@Other,0.758,0.831,0.68,0.897,0.276,0.764,0.679,0.986,0.779,0.791,0.659,0.627,0.205,0.666,0.453,0.45,0.8,0.868,0.646,0.812,-0.19,0.913,0.986,0.66,0.815,0.868,1.0,0.871,-0.145,0.752,0.986,,0.72,0.796,0.674,0.912,-0.061,0.75,0.679,0.627
SVC_RBF@Other,0.836,0.864,0.741,0.97,0.332,0.926,0.558,0.87,0.817,0.872,0.717,0.841,0.19,0.861,0.613,0.636,0.844,0.904,0.723,0.862,-0.246,0.95,0.87,0.761,0.852,0.936,0.871,1.0,0.011,0.946,0.87,,0.783,0.821,0.747,0.91,0.008,0.88,0.809,0.753
GaussianNB@Other,0.183,0.171,0.123,0.024,0.452,0.052,0.126,-0.127,0.113,0.158,0.138,0.244,0.417,0.16,-0.042,0.348,0.092,0.055,0.159,0.093,-0.073,-0.033,-0.127,0.197,0.066,0.114,-0.145,0.011,1.0,0.078,-0.127,,0.171,0.106,0.174,0.022,0.356,0.109,-0.184,0.252
RandomForest@Other,0.838,0.838,0.808,0.902,0.337,0.908,0.491,0.76,0.787,0.808,0.701,0.826,0.201,0.916,0.699,0.731,0.843,0.894,0.736,0.846,-0.118,0.911,0.76,0.803,0.825,0.897,0.752,0.946,0.078,1.0,0.76,,0.806,0.816,0.772,0.868,0.119,0.939,0.768,0.821
DecisionTree@Other,0.773,0.849,0.695,0.918,0.237,0.785,0.693,1.0,0.774,0.778,0.661,0.62,0.175,0.672,0.47,0.465,0.805,0.879,0.655,0.827,-0.219,0.929,1.0,0.674,0.822,0.862,0.986,0.87,-0.127,0.76,1.0,,0.731,0.813,0.687,0.923,-0.116,0.72,0.693,0.643
QDA@Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression@White,0.983,0.935,0.606,0.839,0.448,0.713,0.602,0.731,0.949,0.873,0.952,0.883,0.327,0.838,0.407,0.917,0.986,0.953,0.973,0.965,0.062,0.846,0.731,0.977,0.967,0.916,0.72,0.783,0.171,0.806,0.731,,1.0,0.983,0.995,0.916,0.298,0.85,0.477,0.964
SVC_Linear@White,0.975,0.959,0.631,0.887,0.425,0.76,0.642,0.813,0.954,0.901,0.922,0.852,0.294,0.834,0.436,0.845,0.985,0.976,0.94,0.972,0.017,0.899,0.813,0.942,0.97,0.934,0.796,0.821,0.106,0.816,0.813,,0.983,1.0,0.969,0.948,0.243,0.838,0.53,0.921
SGD_Logistic@White,0.976,0.91,0.548,0.809,0.429,0.663,0.541,0.687,0.932,0.85,0.968,0.885,0.312,0.806,0.363,0.933,0.979,0.931,0.989,0.961,0.061,0.812,0.687,0.984,0.965,0.895,0.674,0.747,0.174,0.772,0.687,,0.995,0.969,1.0,0.892,0.285,0.818,0.44,0.964
SVC_RBF@White,0.934,0.937,0.715,0.95,0.344,0.808,0.636,0.923,0.899,0.872,0.861,0.819,0.223,0.83,0.523,0.744,0.959,0.985,0.872,0.968,-0.135,0.959,0.923,0.891,0.959,0.959,0.912,0.91,0.022,0.868,0.923,,0.916,0.948,0.892,1.0,0.075,0.863,0.675,0.868
GaussianNB@White,0.252,0.262,0.163,-0.001,0.713,0.12,0.155,-0.116,0.259,0.244,0.198,0.234,0.53,0.236,0.229,0.37,0.212,0.17,0.251,0.111,0.53,0.012,-0.116,0.247,0.114,0.096,-0.061,0.008,0.356,0.119,-0.116,,0.298,0.243,0.285,0.075,1.0,0.283,-0.168,0.304
RandomForest@White,0.862,0.838,0.828,0.823,0.431,0.823,0.491,0.72,0.835,0.828,0.752,0.816,0.29,0.907,0.62,0.795,0.872,0.894,0.78,0.85,0.034,0.853,0.72,0.847,0.837,0.893,0.75,0.88,0.109,0.939,0.72,,0.85,0.838,0.818,0.863,0.283,1.0,0.598,0.876
DecisionTree@White,0.497,0.54,0.46,0.795,0.053,0.738,0.46,0.693,0.493,0.536,0.411,0.583,-0.032,0.603,0.678,0.279,0.561,0.653,0.427,0.598,-0.316,0.783,0.693,0.438,0.581,0.658,0.679,0.809,-0.184,0.768,0.693,,0.477,0.53,0.44,0.675,-0.168,0.598,1.0,0.411
QDA@White,0.965,0.893,0.687,0.78,0.439,0.694,0.467,0.643,0.869,0.798,0.91,0.857,0.325,0.841,0.436,0.972,0.945,0.909,0.951,0.93,0.054,0.779,0.643,0.989,0.915,0.867,0.627,0.753,0.252,0.821,0.643,,0.964,0.921,0.964,0.868,0.304,0.876,0.411,1.0
