,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Amer-Indian-Eskimo,1.0,0.942,0.719,0.889,0.357,0.854,0.594,0.545,0.795,0.817,0.701,0.759,0.204,0.692,0.481,0.757,0.788,0.818,0.862,0.795,0.271,0.723,0.559,0.777,0.668,0.674,0.394,0.649,0.177,0.69,0.524,0.242,0.793,0.812,0.804,0.774,0.345,0.718,0.522,0.767
SVC_Linear@Amer-Indian-Eskimo,0.942,1.0,0.639,0.854,0.343,0.802,0.563,0.638,0.72,0.751,0.651,0.693,0.175,0.637,0.439,0.697,0.71,0.742,0.791,0.71,0.268,0.651,0.504,0.678,0.608,0.667,0.35,0.623,0.157,0.652,0.523,0.333,0.719,0.738,0.718,0.698,0.328,0.645,0.473,0.683
SGD_Logistic@Amer-Indian-Eskimo,0.719,0.639,1.0,0.604,0.284,0.729,0.513,0.336,0.594,0.624,0.368,0.598,0.14,0.538,0.378,0.527,0.626,0.637,0.654,0.64,0.185,0.571,0.427,0.618,0.553,0.542,0.427,0.567,0.105,0.568,0.413,0.177,0.614,0.642,0.605,0.618,0.248,0.566,0.388,0.57
SVC_RBF@Amer-Indian-Eskimo,0.889,0.854,0.604,1.0,0.241,0.785,0.62,0.58,0.695,0.732,0.688,0.671,0.129,0.608,0.425,0.676,0.684,0.725,0.763,0.716,0.186,0.624,0.511,0.677,0.577,0.614,0.372,0.591,0.121,0.624,0.536,0.121,0.69,0.713,0.694,0.692,0.239,0.626,0.46,0.673
GaussianNB@Amer-Indian-Eskimo,0.357,0.343,0.284,0.241,1.0,0.405,0.201,0.092,0.445,0.433,0.296,0.37,0.405,0.382,0.247,0.399,0.423,0.4,0.395,0.378,0.573,0.424,0.29,0.414,0.375,0.322,0.317,0.294,0.334,0.348,0.188,0.051,0.446,0.415,0.444,0.373,0.633,0.419,0.309,0.418
RandomForest@Amer-Indian-Eskimo,0.854,0.802,0.729,0.785,0.405,1.0,0.647,0.436,0.789,0.818,0.632,0.78,0.229,0.746,0.525,0.727,0.774,0.792,0.804,0.799,0.319,0.77,0.575,0.769,0.707,0.677,0.53,0.667,0.245,0.706,0.531,0.218,0.798,0.829,0.789,0.788,0.381,0.758,0.538,0.766
DecisionTree@Amer-Indian-Eskimo,0.594,0.563,0.513,0.62,0.201,0.647,1.0,0.411,0.467,0.502,0.396,0.447,0.117,0.422,0.325,0.416,0.445,0.478,0.487,0.465,0.149,0.416,0.348,0.418,0.403,0.46,0.295,0.445,0.16,0.447,0.376,0.187,0.461,0.482,0.451,0.478,0.166,0.434,0.329,0.427
QDA@Amer-Indian-Eskimo,0.545,0.638,0.336,0.58,0.092,0.436,0.411,1.0,0.425,0.463,0.479,0.375,0.057,0.346,0.253,0.375,0.385,0.418,0.437,0.372,0.074,0.331,0.281,0.316,0.369,0.521,0.236,0.437,0.053,0.382,0.369,0.433,0.403,0.409,0.393,0.4,0.099,0.353,0.269,0.335
LogisticRegression@Asian-Pac-Islander,0.795,0.72,0.594,0.695,0.445,0.789,0.467,0.425,1.0,0.979,0.813,0.88,0.305,0.898,0.61,0.886,0.944,0.93,0.918,0.882,0.397,0.888,0.651,0.875,0.837,0.79,0.618,0.689,0.348,0.803,0.554,0.201,0.957,0.943,0.958,0.867,0.502,0.87,0.635,0.879
SVC_Linear@Asian-Pac-Islander,0.817,0.751,0.624,0.732,0.433,0.818,0.502,0.463,0.979,1.0,0.811,0.875,0.284,0.866,0.601,0.861,0.918,0.914,0.908,0.871,0.383,0.866,0.64,0.855,0.822,0.792,0.613,0.697,0.32,0.798,0.567,0.222,0.932,0.933,0.925,0.859,0.467,0.846,0.62,0.849
SGD_Logistic@Asian-Pac-Islander,0.701,0.651,0.368,0.688,0.296,0.632,0.396,0.479,0.813,0.811,1.0,0.642,0.259,0.694,0.496,0.736,0.684,0.695,0.708,0.655,0.268,0.667,0.508,0.681,0.647,0.632,0.455,0.576,0.217,0.652,0.5,0.214,0.739,0.73,0.752,0.679,0.363,0.665,0.483,0.719
SVC_RBF@Asian-Pac-Islander,0.759,0.693,0.598,0.671,0.37,0.78,0.447,0.375,0.88,0.875,0.642,1.0,0.217,0.885,0.6,0.886,0.892,0.877,0.898,0.921,0.314,0.85,0.622,0.834,0.789,0.708,0.573,0.691,0.296,0.735,0.51,0.17,0.892,0.897,0.89,0.902,0.394,0.834,0.603,0.856
GaussianNB@Asian-Pac-Islander,0.204,0.175,0.14,0.129,0.405,0.229,0.117,0.057,0.305,0.284,0.259,0.217,1.0,0.242,0.173,0.245,0.243,0.234,0.22,0.21,0.359,0.25,0.177,0.248,0.225,0.203,0.206,0.161,0.331,0.208,0.113,0.031,0.268,0.256,0.269,0.206,0.488,0.255,0.194,0.255
RandomForest@Asian-Pac-Islander,0.692,0.637,0.538,0.608,0.382,0.746,0.422,0.346,0.898,0.866,0.694,0.885,0.242,1.0,0.659,0.837,0.876,0.851,0.837,0.84,0.368,0.876,0.629,0.801,0.788,0.733,0.586,0.664,0.29,0.795,0.553,0.172,0.882,0.868,0.878,0.827,0.457,0.838,0.613,0.821
DecisionTree@Asian-Pac-Islander,0.481,0.439,0.378,0.425,0.247,0.525,0.325,0.253,0.61,0.601,0.496,0.6,0.173,0.659,1.0,0.571,0.585,0.576,0.56,0.572,0.223,0.588,0.409,0.551,0.527,0.49,0.415,0.453,0.142,0.556,0.379,0.12,0.594,0.596,0.589,0.57,0.286,0.557,0.423,0.558
QDA@Asian-Pac-Islander,0.757,0.697,0.527,0.676,0.399,0.727,0.416,0.375,0.886,0.861,0.736,0.886,0.245,0.837,0.571,1.0,0.868,0.862,0.881,0.866,0.328,0.828,0.602,0.902,0.757,0.678,0.531,0.676,0.32,0.729,0.494,0.16,0.889,0.886,0.9,0.87,0.427,0.825,0.587,0.943
LogisticRegression@Black,0.788,0.71,0.626,0.684,0.423,0.774,0.445,0.385,0.944,0.918,0.684,0.892,0.243,0.876,0.585,0.868,1.0,0.982,0.967,0.933,0.357,0.91,0.671,0.906,0.855,0.786,0.625,0.686,0.306,0.808,0.551,0.177,0.97,0.955,0.969,0.9,0.458,0.875,0.629,0.887
SVC_Linear@Black,0.818,0.742,0.637,0.725,0.4,0.792,0.478,0.418,0.93,0.914,0.695,0.877,0.234,0.851,0.576,0.862,0.982,1.0,0.963,0.935,0.342,0.896,0.673,0.896,0.821,0.769,0.609,0.669,0.296,0.799,0.561,0.189,0.961,0.962,0.957,0.906,0.44,0.865,0.621,0.886
SGD_Logistic@Black,0.862,0.791,0.654,0.763,0.395,0.804,0.487,0.437,0.918,0.908,0.708,0.898,0.22,0.837,0.56,0.881,0.967,0.963,1.0,0.936,0.328,0.871,0.66,0.897,0.814,0.755,0.554,0.69,0.275,0.778,0.549,0.2,0.943,0.943,0.947,0.91,0.403,0.847,0.605,0.888
SVC_RBF@Black,0.795,0.71,0.64,0.716,0.378,0.799,0.465,0.372,0.882,0.871,0.655,0.921,0.21,0.84,0.572,0.866,0.933,0.935,0.936,1.0,0.29,0.896,0.673,0.901,0.79,0.711,0.588,0.673,0.278,0.758,0.553,0.14,0.915,0.926,0.917,0.935,0.378,0.85,0.603,0.888
GaussianNB@Black,0.271,0.268,0.185,0.186,0.573,0.319,0.149,0.074,0.397,0.383,0.268,0.314,0.359,0.368,0.223,0.328,0.357,0.342,0.328,0.29,1.0,0.356,0.224,0.33,0.278,0.242,0.231,0.215,0.24,0.273,0.144,0.028,0.39,0.377,0.378,0.306,0.668,0.364,0.267,0.347
RandomForest@Black,0.723,0.651,0.571,0.624,0.424,0.77,0.416,0.331,0.888,0.866,0.667,0.85,0.25,0.876,0.588,0.828,0.91,0.896,0.871,0.896,0.356,1.0,0.723,0.869,0.803,0.727,0.598,0.67,0.298,0.794,0.529,0.157,0.904,0.9,0.899,0.86,0.459,0.862,0.626,0.854
DecisionTree@Black,0.559,0.504,0.427,0.511,0.29,0.575,0.348,0.281,0.651,0.64,0.508,0.622,0.177,0.629,0.409,0.602,0.671,0.673,0.66,0.673,0.224,0.723,1.0,0.632,0.593,0.55,0.444,0.507,0.203,0.603,0.42,0.133,0.658,0.659,0.659,0.648,0.286,0.641,0.476,0.622
QDA@Black,0.777,0.678,0.618,0.677,0.414,0.769,0.418,0.316,0.875,0.855,0.681,0.834,0.248,0.801,0.551,0.902,0.906,0.896,0.897,0.901,0.33,0.869,0.632,1.0,0.769,0.673,0.556,0.651,0.283,0.737,0.483,0.132,0.894,0.898,0.909,0.856,0.443,0.818,0.577,0.947
