,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Amer-Indian-Eskimo,1.0,0.944,0.718,0.887,0.362,0.853,0.58,0.543,0.793,0.813,0.698,0.76,0.207,0.691,0.477,0.757,0.789,0.819,0.86,0.796,0.265,0.725,0.551,0.78,0.671,0.674,0.388,0.648,0.186,0.695,0.522,0.237,0.796,0.812,0.807,0.775,0.347,0.721,0.527,0.771
SVC_Linear@Amer-Indian-Eskimo,0.944,1.0,0.64,0.854,0.352,0.805,0.551,0.632,0.722,0.751,0.65,0.697,0.182,0.639,0.437,0.701,0.716,0.747,0.794,0.715,0.261,0.658,0.502,0.687,0.616,0.669,0.346,0.623,0.168,0.659,0.521,0.322,0.726,0.742,0.725,0.703,0.331,0.653,0.482,0.693
SGD_Logistic@Amer-Indian-Eskimo,0.718,0.64,1.0,0.6,0.286,0.727,0.488,0.331,0.591,0.618,0.366,0.598,0.144,0.537,0.384,0.532,0.626,0.636,0.652,0.641,0.179,0.573,0.41,0.622,0.55,0.537,0.415,0.563,0.113,0.565,0.41,0.172,0.616,0.643,0.607,0.619,0.247,0.568,0.391,0.578
SVC_RBF@Amer-Indian-Eskimo,0.887,0.854,0.6,1.0,0.244,0.785,0.608,0.58,0.693,0.729,0.683,0.673,0.13,0.61,0.422,0.675,0.686,0.727,0.762,0.718,0.178,0.628,0.505,0.678,0.581,0.62,0.371,0.596,0.133,0.63,0.537,0.12,0.692,0.714,0.696,0.696,0.24,0.633,0.469,0.674
GaussianNB@Amer-Indian-Eskimo,0.362,0.352,0.286,0.244,1.0,0.406,0.202,0.101,0.443,0.431,0.296,0.368,0.394,0.377,0.245,0.401,0.425,0.404,0.397,0.382,0.534,0.426,0.282,0.417,0.379,0.325,0.321,0.294,0.324,0.354,0.197,0.052,0.443,0.409,0.443,0.377,0.613,0.423,0.311,0.422
RandomForest@Amer-Indian-Eskimo,0.853,0.805,0.727,0.785,0.406,1.0,0.638,0.433,0.785,0.812,0.626,0.777,0.229,0.744,0.521,0.728,0.774,0.792,0.802,0.796,0.307,0.769,0.563,0.769,0.706,0.677,0.519,0.665,0.255,0.709,0.527,0.209,0.799,0.827,0.789,0.787,0.379,0.76,0.545,0.769
DecisionTree@Amer-Indian-Eskimo,0.58,0.551,0.488,0.608,0.202,0.638,1.0,0.41,0.455,0.487,0.386,0.435,0.121,0.416,0.316,0.404,0.433,0.465,0.472,0.454,0.14,0.406,0.333,0.406,0.391,0.448,0.279,0.432,0.163,0.434,0.358,0.182,0.448,0.466,0.438,0.465,0.172,0.423,0.32,0.417
QDA@Amer-Indian-Eskimo,0.543,0.632,0.331,0.58,0.101,0.433,0.41,1.0,0.427,0.464,0.478,0.382,0.058,0.35,0.255,0.376,0.388,0.421,0.44,0.377,0.071,0.337,0.286,0.319,0.38,0.529,0.232,0.441,0.062,0.389,0.366,0.425,0.405,0.409,0.395,0.403,0.104,0.357,0.272,0.338
LogisticRegression@Asian-Pac-Islander,0.793,0.722,0.591,0.693,0.443,0.785,0.455,0.427,1.0,0.979,0.815,0.883,0.301,0.898,0.608,0.888,0.943,0.93,0.917,0.882,0.381,0.889,0.651,0.876,0.841,0.793,0.612,0.691,0.353,0.806,0.556,0.197,0.957,0.941,0.957,0.869,0.497,0.871,0.637,0.88
SVC_Linear@Asian-Pac-Islander,0.813,0.751,0.618,0.729,0.431,0.812,0.487,0.464,0.979,1.0,0.811,0.878,0.28,0.865,0.599,0.862,0.918,0.915,0.906,0.871,0.368,0.867,0.639,0.855,0.826,0.795,0.609,0.699,0.328,0.801,0.569,0.218,0.931,0.931,0.924,0.86,0.464,0.846,0.621,0.849
