,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,SGD_Logistic@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,GaussianNB@Amer-Indian-Eskimo,RandomForest@Amer-Indian-Eskimo,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Asian-Pac-Islander,GaussianNB@Asian-Pac-Islander,RandomForest@Asian-Pac-Islander,DecisionTree@Asian-Pac-Islander,QDA@Asian-Pac-Islander,LogisticRegression@Black,SVC_Linear@Black,SGD_Logistic@Black,SVC_RBF@Black,GaussianNB@Black,RandomForest@Black,DecisionTree@Black,QDA@Black,LogisticRegression@Other,SVC_Linear@Other,SGD_Logistic@Other,SVC_RBF@Other,GaussianNB@Other,RandomForest@Other,DecisionTree@Other,QDA@Other,LogisticRegression@White,SVC_Linear@White,SGD_Logistic@White,SVC_RBF@White,GaussianNB@White,RandomForest@White,DecisionTree@White,QDA@White
LogisticRegression@Amer-Indian-Eskimo,1.0,0.92,0.567,0.847,0.031,0.74,0.374,0.328,0.622,0.651,0.482,0.583,-0.067,0.461,0.24,0.589,0.626,0.674,0.744,0.649,-0.057,0.521,0.328,0.672,0.394,0.354,0.02,0.386,-0.158,0.445,0.248,0.076,0.63,0.667,0.659,0.607,-0.061,0.512,0.285,0.64
SVC_Linear@Amer-Indian-Eskimo,0.92,1.0,0.458,0.796,0.026,0.662,0.318,0.36,0.494,0.531,0.396,0.492,-0.069,0.381,0.191,0.528,0.511,0.559,0.648,0.54,-0.062,0.42,0.266,0.55,0.285,0.276,-0.053,0.294,-0.163,0.384,0.242,0.115,0.517,0.556,0.531,0.508,-0.068,0.411,0.233,0.544
SGD_Logistic@Amer-Indian-Eskimo,0.567,0.458,1.0,0.412,0.06,0.621,0.309,0.052,0.37,0.416,0.026,0.401,-0.058,0.314,0.18,0.294,0.441,0.453,0.464,0.466,-0.073,0.368,0.19,0.472,0.316,0.279,0.183,0.365,-0.179,0.345,0.171,0.046,0.418,0.469,0.404,0.429,-0.075,0.354,0.157,0.388
SVC_RBF@Amer-Indian-Eskimo,0.847,0.796,0.412,1.0,-0.06,0.665,0.435,0.365,0.523,0.568,0.494,0.485,-0.072,0.386,0.202,0.54,0.528,0.592,0.639,0.575,-0.106,0.438,0.309,0.599,0.316,0.325,0.044,0.349,-0.16,0.38,0.281,0.099,0.528,0.572,0.551,0.529,-0.105,0.436,0.256,0.572
GaussianNB@Amer-Indian-Eskimo,0.031,0.026,0.06,-0.06,1.0,0.066,0.016,-0.124,-0.002,0.02,-0.074,0.007,0.188,-0.062,-0.093,-0.005,0.006,-0.015,0.036,0.032,0.267,0.009,-0.012,0.001,0.032,-0.03,0.019,0.002,0.238,0.001,-0.068,-0.063,0.019,-0.02,0.027,0.026,0.146,0.022,-0.037,0.01
RandomForest@Amer-Indian-Eskimo,0.74,0.662,0.621,0.665,0.066,1.0,0.49,0.168,0.569,0.623,0.324,0.606,-0.059,0.524,0.289,0.512,0.578,0.608,0.634,0.651,-0.058,0.573,0.335,0.631,0.449,0.36,0.229,0.425,-0.088,0.449,0.273,0.045,0.612,0.679,0.6,0.636,-0.086,0.559,0.293,0.617
DecisionTree@Amer-Indian-Eskimo,0.374,0.318,0.309,0.435,0.016,0.49,1.0,0.207,0.173,0.214,0.085,0.176,-0.04,0.149,0.119,0.142,0.162,0.211,0.205,0.21,-0.092,0.134,0.104,0.183,0.084,0.117,0.018,0.155,-0.05,0.142,0.106,0.054,0.177,0.216,0.169,0.225,-0.093,0.166,0.094,0.19
QDA@Amer-Indian-Eskimo,0.328,0.36,0.052,0.365,-0.124,0.168,0.207,1.0,0.206,0.226,0.27,0.128,-0.101,0.112,0.09,0.212,0.176,0.213,0.214,0.166,-0.074,0.117,0.095,0.172,0.068,0.122,-0.034,0.084,-0.102,0.125,0.097,0.206,0.181,0.188,0.187,0.192,-0.075,0.144,0.111,0.187
LogisticRegression@Asian-Pac-Islander,0.622,0.494,0.37,0.523,-0.002,0.569,0.173,0.206,1.0,0.961,0.681,0.807,-0.022,0.801,0.415,0.805,0.895,0.865,0.863,0.809,-0.019,0.783,0.476,0.802,0.71,0.63,0.362,0.496,0.039,0.649,0.336,0.066,0.911,0.883,0.917,0.787,0.01,0.74,0.429,0.8
SVC_Linear@Asian-Pac-Islander,0.651,0.531,0.416,0.568,0.02,0.623,0.214,0.226,0.961,1.0,0.659,0.798,-0.043,0.746,0.408,0.769,0.851,0.839,0.84,0.791,-0.018,0.748,0.457,0.783,0.673,0.602,0.363,0.481,0.003,0.632,0.347,0.076,0.865,0.867,0.858,0.769,-0.007,0.701,0.409,0.756
SGD_Logistic@Asian-Pac-Islander,0.482,0.396,0.026,0.494,-0.074,0.324,0.085,0.27,0.681,0.659,1.0,0.409,0.016,0.481,0.286,0.599,0.464,0.476,0.501,0.438,-0.034,0.453,0.3,0.522,0.407,0.333,0.157,0.311,-0.046,0.42,0.26,0.066,0.553,0.534,0.589,0.475,-0.031,0.437,0.246,0.576
SVC_RBF@Asian-Pac-Islander,0.583,0.492,0.401,0.485,0.007,0.606,0.176,0.128,0.807,0.798,0.409,1.0,-0.052,0.821,0.425,0.819,0.826,0.796,0.834,0.878,0.009,0.754,0.445,0.75,0.636,0.51,0.325,0.505,0.022,0.539,0.289,0.061,0.825,0.833,0.819,0.85,0.013,0.721,0.413,0.78
GaussianNB@Asian-Pac-Islander,-0.067,-0.069,-0.058,-0.072,0.188,-0.059,-0.04,-0.101,-0.022,-0.043,0.016,-0.052,1.0,-0.07,-0.061,-0.066,-0.096,-0.107,-0.086,-0.063,0.119,-0.083,-0.006,-0.091,-0.07,-0.107,-0.014,-0.085,0.134,-0.083,-0.086,0.003,-0.076,-0.082,-0.066,-0.067,0.12,-0.036,-0.003,-0.071
RandomForest@Asian-Pac-Islander,0.461,0.381,0.314,0.386,-0.062,0.524,0.149,0.112,0.801,0.746,0.481,0.821,-0.07,1.0,0.515,0.725,0.775,0.721,0.722,0.744,-0.022,0.773,0.452,0.673,0.627,0.545,0.329,0.467,-0.029,0.629,0.358,0.029,0.781,0.754,0.774,0.731,-0.011,0.704,0.414,0.705
DecisionTree@Asian-Pac-Islander,0.24,0.191,0.18,0.202,-0.093,0.289,0.119,0.09,0.415,0.408,0.286,0.425,-0.061,0.515,1.0,0.368,0.371,0.355,0.341,0.371,-0.047,0.374,0.187,0.338,0.299,0.254,0.178,0.227,-0.166,0.342,0.185,0.029,0.384,0.391,0.374,0.38,-0.043,0.332,0.213,0.347
QDA@Asian-Pac-Islander,0.589,0.528,0.294,0.54,-0.005,0.512,0.142,0.212,0.805,0.769,0.599,0.819,-0.066,0.725,0.368,1.0,0.762,0.752,0.795,0.769,-0.035,0.694,0.404,0.833,0.589,0.481,0.244,0.529,0.01,0.552,0.278,0.042,0.799,0.793,0.817,0.785,0.001,0.683,0.364,0.899
