,GaussianNB@Asian-Pac-Islander,GaussianNB@Black,GaussianNB@White,GaussianNB@Amer-Indian-Eskimo,GaussianNB@Other,QDA@Other,SGD_Logistic@Other,DecisionTree@Other,DecisionTree@Asian-Pac-Islander,DecisionTree@White,SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Black,SGD_Logistic@Asian-Pac-Islander,RandomForest@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,RandomForest@White,RandomForest@Asian-Pac-Islander,RandomForest@Black,QDA@Asian-Pac-Islander,QDA@Black,QDA@White,SVC_RBF@Asian-Pac-Islander,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SVC_Linear@White,LogisticRegression@White,SGD_Logistic@White,SGD_Logistic@Black,LogisticRegression@Black,SVC_Linear@Black,SVC_RBF@Black,SVC_RBF@White,SVC_RBF@Other,RandomForest@Other,LogisticRegression@Other,SVC_Linear@Other,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo
GaussianNB@Asian-Pac-Islander,1.0,0.119,0.12,0.188,0.134,0.003,-0.014,-0.086,-0.061,-0.003,-0.058,-0.006,0.016,-0.059,-0.072,-0.067,-0.069,-0.036,-0.07,-0.083,-0.066,-0.091,-0.071,-0.052,-0.022,-0.043,-0.082,-0.076,-0.066,-0.086,-0.096,-0.107,-0.063,-0.067,-0.085,-0.083,-0.07,-0.107,-0.04,-0.101
GaussianNB@Black,0.119,1.0,0.432,0.267,0.184,0.004,-0.079,-0.093,-0.047,-0.012,-0.073,-0.055,-0.034,-0.058,-0.106,-0.057,-0.062,0.025,-0.022,-0.044,-0.035,-0.061,-0.019,0.009,-0.019,-0.018,-0.0,0.025,0.012,0.034,-0.022,-0.052,-0.051,0.011,-0.103,-0.087,-0.095,-0.16,-0.092,-0.074
GaussianNB@White,0.12,0.432,1.0,0.146,0.1,0.004,-0.05,-0.075,-0.043,-0.068,-0.075,-0.033,-0.031,-0.086,-0.105,-0.061,-0.068,-0.011,-0.011,-0.01,0.001,-0.013,-0.002,0.013,0.01,-0.007,0.008,0.034,0.027,0.015,0.002,-0.014,-0.03,-0.012,-0.064,-0.024,-0.035,-0.071,-0.093,-0.075
GaussianNB@Amer-Indian-Eskimo,0.188,0.267,0.146,1.0,0.238,-0.063,0.019,-0.068,-0.093,-0.037,0.06,-0.012,-0.074,0.066,-0.06,0.031,0.026,0.022,-0.062,0.009,-0.005,0.001,0.01,0.007,-0.002,0.02,-0.02,0.019,0.027,0.036,0.006,-0.015,0.032,0.026,0.002,0.001,0.032,-0.03,0.016,-0.124
GaussianNB@Other,0.134,0.184,0.1,0.238,1.0,-0.041,0.182,-0.088,-0.166,-0.058,-0.179,-0.042,-0.046,-0.088,-0.16,-0.158,-0.163,0.016,-0.029,-0.031,0.01,-0.074,0.013,0.022,0.039,0.003,0.003,0.031,0.031,-0.034,-0.02,-0.015,-0.0,0.005,-0.008,-0.01,0.065,0.094,-0.05,-0.102
QDA@Other,0.003,0.004,0.004,-0.063,-0.041,1.0,0.034,0.052,0.029,0.029,0.046,0.033,0.066,0.045,0.099,0.076,0.115,0.039,0.029,0.032,0.042,0.033,0.036,0.061,0.066,0.076,0.056,0.057,0.053,0.059,0.051,0.056,0.047,0.053,0.044,0.026,0.018,0.073,0.054,0.206
SGD_Logistic@Other,-0.014,-0.079,-0.05,0.019,0.182,0.034,1.0,0.219,0.178,0.137,0.183,0.21,0.157,0.229,0.044,0.02,-0.053,0.32,0.329,0.354,0.244,0.298,0.268,0.325,0.362,0.363,0.337,0.364,0.322,0.275,0.388,0.365,0.356,0.306,0.49,0.452,0.619,0.634,0.018,-0.034
DecisionTree@Other,-0.086,-0.093,-0.075,-0.068,-0.088,0.052,0.219,1.0,0.185,0.186,0.171,0.219,0.26,0.273,0.281,0.248,0.242,0.314,0.358,0.328,0.278,0.294,0.288,0.289,0.336,0.347,0.348,0.35,0.316,0.321,0.347,0.348,0.356,0.345,0.396,0.552,0.342,0.361,0.106,0.097
DecisionTree@Asian-Pac-Islander,-0.061,-0.047,-0.043,-0.093,-0.166,0.029,0.178,0.185,1.0,0.213,0.18,0.187,0.286,0.289,0.202,0.24,0.191,0.332,0.515,0.374,0.368,0.338,0.347,0.425,0.415,0.408,0.391,0.384,0.374,0.341,0.371,0.355,0.371,0.38,0.227,0.342,0.299,0.254,0.119,0.09
DecisionTree@White,-0.003,-0.012,-0.068,-0.037,-0.058,0.029,0.137,0.186,0.213,1.0,0.157,0.292,0.246,0.293,0.256,0.285,0.233,0.587,0.414,0.437,0.364,0.358,0.392,0.413,0.429,0.409,0.441,0.451,0.439,0.396,0.426,0.418,0.408,0.458,0.219,0.299,0.294,0.251,0.094,0.111
SGD_Logistic@Amer-Indian-Eskimo,-0.058,-0.073,-0.075,0.06,-0.179,0.046,0.183,0.171,0.18,0.157,1.0,0.19,0.026,0.621,0.412,0.567,0.458,0.354,0.314,0.368,0.294,0.472,0.388,0.401,0.37,0.416,0.469,0.418,0.404,0.464,0.441,0.453,0.466,0.429,0.365,0.345,0.316,0.279,0.309,0.052
DecisionTree@Black,-0.006,-0.055,-0.033,-0.012,-0.042,0.033,0.21,0.219,0.187,0.292,0.19,1.0,0.3,0.335,0.309,0.328,0.266,0.465,0.452,0.596,0.404,0.452,0.438,0.445,0.476,0.457,0.483,0.483,0.482,0.488,0.502,0.504,0.506,0.482,0.299,0.41,0.398,0.345,0.104,0.095
SGD_Logistic@Asian-Pac-Islander,0.016,-0.034,-0.031,-0.074,-0.046,0.066,0.157,0.26,0.286,0.246,0.026,0.3,1.0,0.324,0.494,0.482,0.396,0.437,0.481,0.453,0.599,0.522,0.576,0.409,0.681,0.659,0.534,0.553,0.589,0.501,0.464,0.476,0.438,0.475,0.311,0.42,0.407,0.333,0.085,0.27
RandomForest@Amer-Indian-Eskimo,-0.059,-0.058,-0.086,0.066,-0.088,0.045,0.229,0.273,0.289,0.293,0.621,0.335,0.324,1.0,0.665,0.74,0.662,0.559,0.524,0.573,0.512,0.631,0.617,0.606,0.569,0.623,0.679,0.612,0.6,0.634,0.578,0.608,0.651,0.636,0.425,0.449,0.449,0.36,0.49,0.168
SVC_RBF@Amer-Indian-Eskimo,-0.072,-0.106,-0.105,-0.06,-0.16,0.099,0.044,0.281,0.202,0.256,0.412,0.309,0.494,0.665,1.0,0.847,0.796,0.436,0.386,0.438,0.54,0.599,0.572,0.485,0.523,0.568,0.572,0.528,0.551,0.639,0.528,0.592,0.575,0.529,0.349,0.38,0.316,0.325,0.435,0.365
LogisticRegression@Amer-Indian-Eskimo,-0.067,-0.057,-0.061,0.031,-0.158,0.076,0.02,0.248,0.24,0.285,0.567,0.328,0.482,0.74,0.847,1.0,0.92,0.512,0.461,0.521,0.589,0.672,0.64,0.583,0.622,0.651,0.667,0.63,0.659,0.744,0.626,0.674,0.649,0.607,0.386,0.445,0.394,0.354,0.374,0.328
SVC_Linear@Amer-Indian-Eskimo,-0.069,-0.062,-0.068,0.026,-0.163,0.115,-0.053,0.242,0.191,0.233,0.458,0.266,0.396,0.662,0.796,0.92,1.0,0.411,0.381,0.42,0.528,0.55,0.544,0.492,0.494,0.531,0.556,0.517,0.531,0.648,0.511,0.559,0.54,0.508,0.294,0.384,0.285,0.276,0.318,0.36
RandomForest@White,-0.036,0.025,-0.011,0.022,0.016,0.039,0.32,0.314,0.332,0.587,0.354,0.465,0.437,0.559,0.436,0.512,0.411,1.0,0.704,0.745,0.683,0.685,0.741,0.721,0.74,0.701,0.793,0.81,0.795,0.726,0.763,0.747,0.746,0.812,0.449,0.523,0.561,0.463,0.166,0.144
RandomForest@Asian-Pac-Islander,-0.07,-0.022,-0.011,-0.062,-0.029,0.029,0.329,0.358,0.515,0.414,0.314,0.452,0.481,0.524,0.386,0.461,0.381,0.704,1.0,0.773,0.725,0.673,0.705,0.821,0.801,0.746,0.754,0.781,0.774,0.722,0.775,0.721,0.744,0.731,0.467,0.629,0.627,0.545,0.149,0.112
RandomForest@Black,-0.083,-0.044,-0.01,0.009,-0.031,0.032,0.354,0.328,0.374,0.437,0.368,0.596,0.453,0.573,0.438,0.521,0.42,0.745,0.773,1.0,0.694,0.78,0.752,0.754,0.783,0.748,0.811,0.82,0.809,0.782,0.833,0.805,0.835,0.786,0.497,0.627,0.658,0.553,0.134,0.117
QDA@Asian-Pac-Islander,-0.066,-0.035,0.001,-0.005,0.01,0.042,0.244,0.278,0.368,0.364,0.294,0.404,0.599,0.512,0.54,0.589,0.528,0.683,0.725,0.694,1.0,0.833,0.899,0.819,0.805,0.769,0.793,0.799,0.817,0.795,0.762,0.752,0.769,0.785,0.529,0.552,0.589,0.481,0.142,0.212
QDA@Black,-0.091,-0.061,-0.013,0.001,-0.074,0.033,0.298,0.294,0.338,0.358,0.472,0.452,0.522,0.631,0.599,0.672,0.55,0.685,0.673,0.78,0.833,1.0,0.91,0.75,0.802,0.783,0.841,0.832,0.853,0.854,0.85,0.841,0.852,0.789,0.523,0.593,0.632,0.516,0.183,0.172
