,LogisticRegression@White,SGD_Logistic@White,SVC_Linear@White,LogisticRegression@Black,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Black,SGD_Logistic@Black,SVC_Linear@Asian-Pac-Islander,SVC_RBF@Black,SVC_RBF@White,RandomForest@Black,QDA@White,SVC_RBF@Asian-Pac-Islander,QDA@Black,QDA@Asian-Pac-Islander,RandomForest@White,RandomForest@Asian-Pac-Islander,LogisticRegression@Other,RandomForest@Amer-Indian-Eskimo,LogisticRegression@Amer-Indian-Eskimo,RandomForest@Other,SVC_Linear@Other,SVC_Linear@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,SGD_Logistic@Asian-Pac-Islander,SVC_RBF@Other,DecisionTree@Black,SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@White,SGD_Logistic@Other,DecisionTree@Asian-Pac-Islander,DecisionTree@Other,DecisionTree@Amer-Indian-Eskimo,QDA@Amer-Indian-Eskimo,GaussianNB@White,GaussianNB@Black,GaussianNB@Amer-Indian-Eskimo,GaussianNB@Asian-Pac-Islander,GaussianNB@Other,QDA@Other
LogisticRegression@White,1.0,0.993,0.986,0.97,0.957,0.961,0.944,0.931,0.916,0.926,0.906,0.923,0.896,0.9,0.893,0.905,0.882,0.834,0.799,0.796,0.789,0.763,0.726,0.692,0.741,0.686,0.656,0.616,0.65,0.609,0.591,0.56,0.448,0.405,0.483,0.378,0.443,0.267,0.346,0.185
SGD_Logistic@White,0.993,1.0,0.976,0.969,0.957,0.957,0.948,0.924,0.919,0.923,0.901,0.937,0.893,0.914,0.904,0.898,0.876,0.827,0.789,0.807,0.78,0.746,0.725,0.696,0.753,0.675,0.656,0.607,0.644,0.584,0.584,0.539,0.438,0.395,0.475,0.367,0.443,0.267,0.347,0.177
SVC_Linear@White,0.986,0.976,1.0,0.952,0.941,0.959,0.939,0.931,0.924,0.936,0.899,0.92,0.897,0.899,0.886,0.892,0.866,0.805,0.827,0.812,0.77,0.735,0.742,0.714,0.73,0.671,0.652,0.643,0.64,0.59,0.593,0.558,0.466,0.409,0.461,0.364,0.409,0.256,0.326,0.185
LogisticRegression@Black,0.97,0.969,0.952,1.0,0.943,0.983,0.968,0.918,0.935,0.903,0.913,0.892,0.894,0.911,0.873,0.878,0.874,0.858,0.774,0.789,0.812,0.786,0.716,0.686,0.687,0.689,0.668,0.626,0.634,0.615,0.58,0.556,0.433,0.388,0.453,0.349,0.425,0.243,0.312,0.174
LogisticRegression@Asian-Pac-Islander,0.957,0.957,0.941,0.943,1.0,0.93,0.917,0.979,0.882,0.869,0.889,0.88,0.883,0.876,0.888,0.871,0.898,0.841,0.785,0.793,0.806,0.793,0.722,0.693,0.815,0.691,0.651,0.591,0.637,0.612,0.608,0.556,0.455,0.427,0.497,0.381,0.443,0.301,0.353,0.197
SVC_Linear@Black,0.961,0.957,0.959,0.983,0.93,1.0,0.963,0.915,0.937,0.909,0.899,0.89,0.879,0.901,0.865,0.868,0.85,0.825,0.792,0.819,0.804,0.771,0.747,0.727,0.696,0.674,0.67,0.636,0.626,0.601,0.572,0.566,0.465,0.421,0.436,0.335,0.404,0.234,0.303,0.186
SGD_Logistic@Black,0.944,0.948,0.939,0.968,0.917,0.963,1.0,0.906,0.936,0.912,0.874,0.893,0.899,0.901,0.885,0.85,0.835,0.819,0.802,0.86,0.784,0.757,0.794,0.762,0.708,0.693,0.656,0.652,0.61,0.547,0.552,0.554,0.472,0.44,0.401,0.32,0.397,0.221,0.282,0.197
SVC_Linear@Asian-Pac-Islander,0.931,0.924,0.931,0.918,0.979,0.915,0.906,1.0,0.871,0.86,0.867,0.849,0.878,0.855,0.862,0.846,0.865,0.826,0.812,0.813,0.801,0.795,0.751,0.729,0.811,0.699,0.639,0.618,0.621,0.609,0.599,0.569,0.487,0.464,0.464,0.368,0.431,0.28,0.328,0.218
SVC_RBF@Black,0.916,0.919,0.924,0.935,0.882,0.937,0.936,0.871,1.0,0.937,0.899,0.891,0.921,0.905,0.867,0.854,0.837,0.794,0.796,0.796,0.763,0.715,0.715,0.718,0.657,0.676,0.665,0.641,0.61,0.584,0.565,0.558,0.454,0.377,0.377,0.282,0.382,0.207,0.287,0.139
SVC_RBF@White,0.926,0.923,0.936,0.903,0.869,0.909,0.912,0.86,0.937,1.0,0.864,0.905,0.905,0.862,0.874,0.887,0.826,0.76,0.787,0.775,0.727,0.677,0.703,0.696,0.68,0.663,0.645,0.619,0.636,0.551,0.565,0.555,0.465,0.403,0.374,0.296,0.377,0.205,0.284,0.156
RandomForest@Black,0.906,0.901,0.899,0.913,0.889,0.899,0.874,0.867,0.899,0.864,1.0,0.858,0.853,0.873,0.833,0.866,0.874,0.808,0.769,0.725,0.796,0.731,0.658,0.628,0.668,0.673,0.718,0.573,0.635,0.592,0.584,0.535,0.406,0.337,0.455,0.346,0.426,0.247,0.309,0.154
QDA@White,0.923,0.937,0.92,0.892,0.88,0.89,0.893,0.849,0.891,0.905,0.858,1.0,0.861,0.949,0.943,0.857,0.822,0.753,0.769,0.771,0.722,0.652,0.693,0.674,0.716,0.649,0.619,0.578,0.608,0.538,0.554,0.497,0.417,0.338,0.439,0.334,0.422,0.251,0.334,0.139
SVC_RBF@Asian-Pac-Islander,0.896,0.893,0.897,0.894,0.883,0.879,0.899,0.878,0.921,0.905,0.853,0.861,1.0,0.839,0.89,0.84,0.885,0.792,0.777,0.76,0.74,0.712,0.697,0.673,0.648,0.693,0.621,0.598,0.61,0.565,0.596,0.515,0.435,0.382,0.392,0.303,0.368,0.215,0.306,0.166
QDA@Black,0.9,0.914,0.899,0.911,0.876,0.901,0.901,0.855,0.905,0.862,0.873,0.949,0.839,1.0,0.904,0.824,0.801,0.775,0.769,0.78,0.743,0.677,0.687,0.678,0.68,0.654,0.627,0.622,0.585,0.549,0.544,0.492,0.406,0.319,0.437,0.32,0.417,0.245,0.292,0.131
QDA@Asian-Pac-Islander,0.893,0.904,0.886,0.873,0.888,0.865,0.885,0.862,0.867,0.874,0.833,0.943,0.89,0.904,1.0,0.831,0.839,0.766,0.728,0.757,0.736,0.685,0.701,0.675,0.736,0.678,0.604,0.532,0.595,0.526,0.568,0.502,0.404,0.376,0.426,0.317,0.401,0.243,0.328,0.157
RandomForest@White,0.905,0.898,0.892,0.878,0.871,0.868,0.85,0.846,0.854,0.887,0.866,0.857,0.84,0.824,0.831,1.0,0.839,0.756,0.76,0.721,0.735,0.689,0.653,0.633,0.667,0.644,0.638,0.568,0.722,0.571,0.553,0.529,0.423,0.357,0.448,0.352,0.423,0.253,0.328,0.155
