,GaussianNB@Other,QDA@Amer-Indian-Eskimo,QDA@Other,DecisionTree@Amer-Indian-Eskimo,DecisionTree@Other,DecisionTree@Asian-Pac-Islander,SGD_Logistic@Other,DecisionTree@White,SGD_Logistic@Amer-Indian-Eskimo,DecisionTree@Black,SGD_Logistic@Asian-Pac-Islander,RandomForest@Amer-Indian-Eskimo,SVC_RBF@Amer-Indian-Eskimo,LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,RandomForest@Asian-Pac-Islander,RandomForest@White,QDA@Asian-Pac-Islander,QDA@Black,QDA@White,RandomForest@Black,LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,SVC_Linear@White,LogisticRegression@White,SGD_Logistic@White,SGD_Logistic@Black,LogisticRegression@Black,SVC_Linear@Black,SVC_RBF@Asian-Pac-Islander,SVC_RBF@Black,SVC_RBF@White,SVC_RBF@Other,RandomForest@Other,LogisticRegression@Other,SVC_Linear@Other,GaussianNB@Asian-Pac-Islander,GaussianNB@Amer-Indian-Eskimo,GaussianNB@Black,GaussianNB@White
GaussianNB@Other,1.0,0.062,0.046,0.163,0.132,0.149,0.347,0.23,0.113,0.208,0.221,0.255,0.133,0.186,0.168,0.296,0.328,0.328,0.292,0.334,0.309,0.353,0.328,0.326,0.346,0.347,0.282,0.312,0.303,0.306,0.287,0.284,0.222,0.267,0.315,0.312,0.327,0.324,0.22,0.252
QDA@Amer-Indian-Eskimo,0.062,1.0,0.425,0.41,0.366,0.255,0.232,0.272,0.331,0.286,0.478,0.433,0.58,0.543,0.632,0.35,0.357,0.376,0.319,0.338,0.337,0.427,0.464,0.409,0.405,0.395,0.44,0.388,0.421,0.382,0.377,0.403,0.441,0.389,0.38,0.529,0.058,0.101,0.071,0.104
QDA@Other,0.046,0.425,1.0,0.182,0.182,0.117,0.136,0.12,0.172,0.131,0.21,0.209,0.12,0.237,0.322,0.166,0.155,0.157,0.131,0.139,0.154,0.197,0.218,0.185,0.185,0.177,0.197,0.174,0.186,0.166,0.139,0.156,0.364,0.2,0.243,0.391,0.03,0.052,0.029,0.048
DecisionTree@Amer-Indian-Eskimo,0.163,0.41,0.182,1.0,0.358,0.316,0.279,0.32,0.488,0.333,0.386,0.638,0.608,0.58,0.551,0.416,0.423,0.404,0.406,0.417,0.406,0.455,0.487,0.466,0.448,0.438,0.472,0.433,0.465,0.435,0.454,0.465,0.432,0.434,0.391,0.448,0.121,0.202,0.14,0.172
DecisionTree@Other,0.132,0.366,0.182,0.358,1.0,0.375,0.429,0.391,0.41,0.426,0.499,0.527,0.537,0.522,0.521,0.55,0.529,0.502,0.492,0.497,0.535,0.556,0.569,0.558,0.56,0.539,0.554,0.556,0.566,0.515,0.558,0.555,0.575,0.683,0.554,0.579,0.115,0.197,0.147,0.21
DecisionTree@Asian-Pac-Islander,0.149,0.255,0.117,0.316,0.375,1.0,0.407,0.42,0.384,0.4,0.494,0.521,0.422,0.477,0.437,0.661,0.553,0.568,0.544,0.554,0.584,0.608,0.599,0.593,0.591,0.584,0.552,0.58,0.572,0.596,0.565,0.565,0.448,0.552,0.525,0.49,0.166,0.245,0.214,0.281
SGD_Logistic@Other,0.347,0.232,0.136,0.279,0.429,0.407,1.0,0.397,0.415,0.433,0.453,0.519,0.371,0.388,0.346,0.572,0.571,0.526,0.549,0.538,0.592,0.612,0.609,0.59,0.609,0.584,0.547,0.615,0.601,0.565,0.584,0.551,0.624,0.631,0.739,0.71,0.203,0.321,0.22,0.316
DecisionTree@White,0.23,0.272,0.12,0.32,0.391,0.42,0.397,1.0,0.391,0.482,0.483,0.545,0.469,0.527,0.482,0.615,0.722,0.595,0.585,0.608,0.635,0.637,0.621,0.64,0.65,0.644,0.61,0.634,0.626,0.61,0.61,0.636,0.456,0.54,0.54,0.502,0.191,0.311,0.26,0.323
SGD_Logistic@Amer-Indian-Eskimo,0.113,0.331,0.172,0.488,0.41,0.384,0.415,0.391,1.0,0.41,0.366,0.727,0.6,0.718,0.64,0.537,0.568,0.532,0.622,0.578,0.573,0.591,0.618,0.643,0.616,0.607,0.652,0.626,0.636,0.598,0.641,0.619,0.563,0.565,0.55,0.537,0.144,0.286,0.179,0.247
DecisionTree@Black,0.208,0.286,0.131,0.333,0.426,0.4,0.433,0.482,0.41,1.0,0.512,0.563,0.505,0.551,0.502,0.625,0.638,0.604,0.627,0.619,0.718,0.651,0.639,0.652,0.656,0.656,0.656,0.668,0.67,0.621,0.665,0.645,0.505,0.604,0.597,0.554,0.171,0.282,0.224,0.288
