item,fator,carga_max,carga_F1,carga_F2,carga_F3,carga_F4
LogisticRegression@White,1,0.969,0.969,0.083,-0.097,-0.03
SGD_Logistic@White,1,0.966,0.966,0.085,-0.109,-0.056
SVC_Linear@White,1,0.964,0.964,0.046,-0.096,-0.08
LogisticRegression@Black,1,0.962,0.962,0.057,-0.132,-0.004
LogisticRegression@Asian-Pac-Islander,1,0.961,0.961,0.081,-0.04,0.017
SVC_Linear@Black,1,0.959,0.959,0.01,-0.102,-0.047
SGD_Logistic@Black,1,0.956,0.956,-0.041,-0.077,-0.098
SVC_Linear@Asian-Pac-Islander,1,0.953,0.953,0.017,0.008,0.004
SVC_RBF@Black,1,0.937,0.937,-0.01,-0.174,-0.083
SVC_RBF@White,1,0.926,0.926,-0.006,-0.159,-0.109
RandomForest@Black,1,0.921,0.921,0.099,-0.152,0.018
QDA@White,1,0.919,0.919,0.092,-0.148,-0.122
SVC_RBF@Asian-Pac-Islander,1,0.918,0.918,0.013,-0.151,-0.038
QDA@Black,1,0.914,0.914,0.074,-0.149,-0.107
QDA@Asian-Pac-Islander,1,0.91,0.91,0.061,-0.13,-0.067
RandomForest@White,1,0.903,0.903,0.103,-0.121,-0.033
RandomForest@Asian-Pac-Islander,1,0.899,0.899,0.081,-0.133,0.053
LogisticRegression@Other,1,0.874,0.874,-0.013,-0.048,0.356
LogisticRegression@Amer-Indian-Eskimo,1,0.863,0.863,-0.24,0.201,-0.278
RandomForest@Amer-Indian-Eskimo,1,0.863,0.863,-0.127,0.152,-0.165
RandomForest@Other,1,0.855,0.855,-0.073,-0.007,0.268
SVC_Linear@Other,1,0.829,0.829,-0.156,0.13,0.428
SVC_Linear@Amer-Indian-Eskimo,1,0.803,0.803,-0.294,0.314,-0.23
SVC_RBF@Amer-Indian-Eskimo,1,0.774,0.774,-0.345,0.178,-0.291
SGD_Logistic@Asian-Pac-Islander,1,0.772,0.772,-0.065,0.075,-0.003
SVC_RBF@Other,1,0.771,0.771,-0.2,0.109,0.374
DecisionTree@Black,1,0.692,0.692,0.009,-0.137,0.026
SGD_Logistic@Amer-Indian-Eskimo,1,0.673,0.673,-0.202,0.115,-0.172
DecisionTree@White,1,0.667,0.667,0.087,-0.103,-0.041
SGD_Logistic@Other,1,0.642,0.642,0.104,-0.065,0.496
DecisionTree@Asian-Pac-Islander,1,0.622,0.622,0.023,-0.118,0.041
DecisionTree@Other,1,0.618,0.618,-0.212,0.047,0.195
DecisionTree@Amer-Indian-Eskimo,1,0.527,0.527,-0.297,0.331,-0.192
QDA@Amer-Indian-Eskimo,1,0.476,0.476,-0.475,0.432,0.035
GaussianNB@White,2,0.602,0.48,0.602,0.36,-0.055
GaussianNB@Black,2,0.578,0.372,0.578,0.373,-0.109
GaussianNB@Amer-Indian-Eskimo,2,0.535,0.459,0.535,0.372,-0.053
GaussianNB@Asian-Pac-Islander,2,0.508,0.283,0.508,0.394,0.023
GaussianNB@Other,2,0.38,0.338,0.38,0.091,0.251
QDA@Other,3,0.43,0.231,-0.33,0.43,0.392
