item_a,item_b,correlacao
LogisticRegression@White,SGD_Logistic@White,0.993
LogisticRegression@White,SVC_Linear@White,0.986
LogisticRegression@Black,SVC_Linear@Black,0.983
LogisticRegression@Asian-Pac-Islander,SVC_Linear@Asian-Pac-Islander,0.979
SVC_Linear@White,SGD_Logistic@White,0.976
LogisticRegression@Black,LogisticRegression@White,0.97
LogisticRegression@Black,SGD_Logistic@White,0.969
LogisticRegression@Black,SGD_Logistic@Black,0.968
SVC_Linear@Black,SGD_Logistic@Black,0.963
SVC_Linear@Black,LogisticRegression@White,0.961
SVC_Linear@Black,SVC_Linear@White,0.959
LogisticRegression@Asian-Pac-Islander,SGD_Logistic@White,0.957
SVC_Linear@Black,SGD_Logistic@White,0.957
LogisticRegression@Asian-Pac-Islander,LogisticRegression@White,0.957
LogisticRegression@Black,SVC_Linear@White,0.952
QDA@Black,QDA@White,0.949
SGD_Logistic@Black,SGD_Logistic@White,0.948
SGD_Logistic@Black,LogisticRegression@White,0.944
LogisticRegression@Amer-Indian-Eskimo,SVC_Linear@Amer-Indian-Eskimo,0.944
QDA@Asian-Pac-Islander,QDA@White,0.943
LogisticRegression@Asian-Pac-Islander,LogisticRegression@Black,0.943
LogisticRegression@Asian-Pac-Islander,SVC_Linear@White,0.941
SGD_Logistic@Black,SVC_Linear@White,0.939
SGD_Logistic@White,QDA@White,0.937
SVC_RBF@Black,SVC_RBF@White,0.937
SVC_Linear@Black,SVC_RBF@Black,0.937
SVC_Linear@White,SVC_RBF@White,0.936
SGD_Logistic@Black,SVC_RBF@Black,0.936
LogisticRegression@Black,SVC_RBF@Black,0.935
LogisticRegression@Other,SVC_Linear@Other,0.934
SVC_Linear@Asian-Pac-Islander,LogisticRegression@White,0.931
SVC_Linear@Asian-Pac-Islander,SVC_Linear@White,0.931
LogisticRegression@Asian-Pac-Islander,SVC_Linear@Black,0.93
LogisticRegression@White,SVC_RBF@White,0.926
SVC_Linear@Asian-Pac-Islander,SGD_Logistic@White,0.924
SVC_RBF@Black,SVC_Linear@White,0.924
LogisticRegression@White,QDA@White,0.923
SGD_Logistic@White,SVC_RBF@White,0.923
SVC_RBF@Asian-Pac-Islander,SVC_RBF@Black,0.921
SVC_Linear@White,QDA@White,0.92
SVC_RBF@Black,SGD_Logistic@White,0.919
SVC_Linear@Asian-Pac-Islander,LogisticRegression@Black,0.918
LogisticRegression@Asian-Pac-Islander,SGD_Logistic@Black,0.917
SVC_RBF@Black,LogisticRegression@White,0.916
SVC_Linear@Asian-Pac-Islander,SVC_Linear@Black,0.915
QDA@Black,SGD_Logistic@White,0.914
LogisticRegression@Black,RandomForest@Black,0.913
SGD_Logistic@Black,SVC_RBF@White,0.912
LogisticRegression@Black,QDA@Black,0.911
SVC_Linear@Black,SVC_RBF@White,0.909
RandomForest@Black,LogisticRegression@White,0.906
SVC_Linear@Asian-Pac-Islander,SGD_Logistic@Black,0.906
SVC_RBF@Black,QDA@Black,0.905
SVC_RBF@Asian-Pac-Islander,SVC_RBF@White,0.905
LogisticRegression@White,RandomForest@White,0.905
SVC_RBF@White,QDA@White,0.905
QDA@Asian-Pac-Islander,SGD_Logistic@White,0.904
QDA@Asian-Pac-Islander,QDA@Black,0.904
LogisticRegression@Black,SVC_RBF@White,0.903
RandomForest@Black,SGD_Logistic@White,0.901
SGD_Logistic@Black,QDA@Black,0.901
SVC_Linear@Black,QDA@Black,0.901
